id,title,genre
278,The Shawshank Redemption,"Drama,Crime"
19404,Dilwale Dulhania Le Jayenge,"Comedy,Drama,Romance"
238,The Godfather,"Drama,Crime"
424,Schindler's List,"Drama,History,War"
240,The Godfather: Part II,"Drama,Crime"
667257,Impossible Things,"Family,Drama"
129,Spirited Away,"Animation,Family,Fantasy"
730154,Your Eyes Tell,"Romance,Drama"
372754,Dou kyu sei – Classmates,"Romance,Animation"
372058,Your Name.,"Romance,Animation,Drama"
389,12 Angry Men,Drama
696374,Gabriel's Inferno,Romance
496243,Parasite,"Comedy,Thriller,Drama"
497,The Green Mile,"Fantasy,Drama,Crime"
724089,Gabriel's Inferno: Part II,Romance
155,The Dark Knight,"Drama,Action,Crime,Thriller"
429,"The Good, the Bad and the Ugly",Western
680,Pulp Fiction,"Thriller,Crime"
122,The Lord of the Rings: The Return of the King,"Adventure,Fantasy,Action"
761053,Gabriel's Inferno: Part III,"Romance,Comedy"
13,Forrest Gump,"Comedy,Drama,Romance"
11216,Cinema Paradiso,"Drama,Romance"
346,Seven Samurai,"Action,Drama"
769,GoodFellas,"Drama,Crime"
533514,Violet Evergarden: The Movie,"Animation,Fantasy,Romance,Drama"
637,Life Is Beautiful,"Comedy,Drama"
311,Once Upon a Time in America,"Drama,Crime"
14537,Harakiri,"Action,Drama,History"
539,Psycho,"Horror,Drama,Thriller"
652837,"Josee, the Tiger and the Fish","Animation,Drama,Romance"
40096,A Dog's Will,"Comedy,Drama,Fantasy"
12477,Grave of the Fireflies,"Animation,Drama,War"
510,One Flew Over the Cuckoo's Nest,Drama
550,Fight Club,Drama
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,"Animation,Action,Science Fiction,Drama"
324857,Spider-Man: Into the Spider-Verse,"Action,Adventure,Animation,Science Fiction"
598,City of God,"Drama,Crime"
255709,Hope,Drama
378064,A Silent Voice: The Movie,"Animation,Drama,Romance"
92321,Hotarubi no Mori e,"Romance,Animation,Fantasy"
4935,Howl's Moving Castle,"Fantasy,Animation,Adventure"
18491,Neon Genesis Evangelion: The End of Evangelion,"Drama,Animation,Science Fiction,Action"
1891,The Empire Strikes Back,"Adventure,Action,Science Fiction"
599,Sunset Boulevard,Drama
441130,Wolfwalkers,"Animation,Family,Adventure,Fantasy"
120,The Lord of the Rings: The Fellowship of the Ring,"Adventure,Fantasy,Action"
3782,Ikiru,Drama
704264,Primal: Tales of Savagery,"Action,Adventure,Animation"
423,The Pianist,"Drama,War"
157336,Interstellar,"Adventure,Drama,Science Fiction"
244786,Whiplash,"Drama,Music"
121,The Lord of the Rings: The Two Towers,"Adventure,Fantasy,Action"
73,American History X,Drama
567,Rear Window,"Thriller,Mystery"
27205,Inception,"Action,Science Fiction,Adventure"
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"Animation,Action,Adventure,Fantasy"
632632,Given,"Animation,Drama,Music,Romance"
901,City Lights,"Comedy,Drama,Romance"
12493,High and Low,"Crime,Drama,Mystery,Thriller"
914,The Great Dictator,"Comedy,War"
807,Se7en,"Crime,Mystery,Thriller"
361743,Top Gun: Maverick,"Action,Drama"
128,Princess Mononoke,"Adventure,Fantasy,Animation"
644479,Dedicated to my ex,"Drama,Comedy"
274,The Silence of the Lambs,"Crime,Drama,Thriller"
25237,Come and See,"Drama,History,War"
630566,Clouds,"Music,Drama,Romance"
207,Dead Poets Society,Drama
3082,Modern Times,"Comedy,Drama"
527641,Five Feet Apart,"Romance,Drama"
101,Léon: The Professional,"Crime,Drama,Action"
335,Once Upon a Time in the West,"Drama,Western"
556574,Hamilton,"History,Drama"
975,Paths of Glory,"Drama,War"
618344,Justice League Dark: Apokolips War,"Animation,Action,Adventure,Fantasy,Science Fiction"
105,Back to the Future,"Adventure,Comedy,Science Fiction,Family"
592350,My Hero Academia: Heroes Rising,"Animation,Action,Fantasy,Adventure"
447362,Life in a Year,"Drama,Romance"
575813,Better Days,Drama
16672,Woman in the Dunes,"Drama,Thriller"
42269,We All Loved Each Other So Much,"Drama,Comedy"
18148,Tokyo Story,Drama
10494,Perfect Blue,"Animation,Thriller"
10376,The Legend of 1900,"Drama,Music,Romance"
28,Apocalypse Now,"Drama,War"
